Data,P2,P3,TOTAL,DIFERENCA_1
2025-07-01,11,74,85,9.0
2025-07-02,14,82,96,11.0
2025-07-03,30,56,86,-10.0
2025-07-04,16,56,72,-14.0
2025-07-05,31,26,57,-15.0
2025-07-06,5,11,16,-41.0
2025-07-07,17,57,74,58.0
2025-07-08,31,74,105,31.0
2025-07-09,20,49,69,-36.0
2025-07-10,49,83,132,63.0
2025-07-11,14,82,96,-36.0
2025-07-12,10,33,43,-53.0
2025-07-13,12,22,34,-9.0
2025-07-14,27,71,98,64.0
2025-07-15,18,83,101,3.0
2025-07-16,19,78,97,-4.0
2025-07-17,16,72,88,-9.0
2025-07-18,13,76,89,1.0
2025-07-19,4,25,29,-60.0
2025-07-20,5,9,14,-15.0
2025-07-21,9,98,107,93.0
2025-07-22,7,78,85,-22.0
2025-07-23,15,86,101,16.0
2025-07-24,9,81,90,-11.0
2025-07-25,15,70,85,-5.0
2025-07-26,97,39,136,51.0
2025-07-27,8,12,20,-116.0
2025-07-28,28,78,106,86.0
2025-07-29,35,111,146,40.0
2025-07-30,36,85,121,-25.0
2025-07-31,15,104,119,-2.0
2025-08-01,14,89,103,-16.0
2025-08-02,11,41,52,-51.0
2025-08-03,9,7,16,-36.0
2025-08-04,11,102,113,97.0
2025-08-05,25,97,122,9.0
2025-08-06,10,82,92,-30.0
2025-08-07,55,98,153,61.0
2025-08-08,29,132,161,8.0
2025-08-09,19,30,49,-112.0
2025-08-10,12,24,36,-13.0
2025-08-11,20,95,115,79.0
2025-08-12,27,111,138,23.0
2025-08-13,23,108,131,-7.0
2025-08-14,20,163,183,52.0
2025-08-15,38,70,108,-75.0
2025-08-16,12,48,60,-48.0
2025-08-17,10,19,29,-31.0
2025-08-18,73,92,165,136.0
2025-08-19,24,129,153,-12.0
2025-08-20,22,74,96,-57.0
2025-08-21,25,96,121,25.0
2025-08-22,20,78,98,-23.0
2025-08-23,28,29,57,-41.0
2025-08-24,7,50,57,0.0
2025-08-25,21,83,104,47.0
2025-08-26,119,99,218,114.0
2025-08-27,10,85,95,-123.0
2025-08-28,26,124,150,55.0
2025-08-29,25,94,119,-31.0
2025-08-30,8,55,63,-56.0
2025-08-31,8,20,28,-35.0
2025-09-01,39,125,164,136.0
2025-09-02,296,171,467,303.0
2025-09-03,41,114,155,-312.0
2025-09-04,187,151,338,183.0
2025-09-05,56,149,205,-133.0
2025-09-06,42,63,105,-100.0
2025-09-07,34,62,96,-9.0
2025-09-08,55,167,222,126.0
2025-09-09,57,154,211,-11.0
2025-09-10,79,276,355,144.0
2025-09-11,42,174,216,-139.0
2025-09-12,58,259,317,101.0
2025-09-13,23,110,133,-184.0
2025-09-14,21,72,93,-40.0
2025-09-15,96,198,294,201.0
2025-09-16,42,174,216,-78.0
2025-09-17,52,187,239,23.0
2025-09-18,66,165,231,-8.0
2025-09-19,70,164,234,3.0
2025-09-20,73,168,241,7.0
2025-09-21,46,105,151,-90.0
2025-09-22,85,849,934,783.0
2025-09-23,250,240,490,-444.0
2025-09-24,180,182,362,-128.0
2025-09-25,66,155,221,-141.0
2025-09-26,30,243,273,52.0
2025-09-27,22,109,131,-142.0
2025-09-28,20,72,92,-39.0
2025-09-29,39,160,199,107.0
2025-09-30,62,191,253,54.0
2025-10-01,47,141,188,-65.0
2025-10-02,110,223,333,145.0
2025-10-03,109,323,432,99.0
2025-10-04,37,130,167,-265.0
2025-10-05,13,103,116,-51.0
2025-10-06,27,236,263,147.0
2025-10-07,272,162,434,171.0
2025-10-08,67,204,271,-163.0
2025-10-09,93,174,267,-4.0
2025-10-10,140,219,359,92.0
2025-10-11,12,98,110,-249.0
2025-10-12,18,72,90,-20.0
2025-10-13,72,100,172,82.0
2025-10-14,100,137,237,65.0
2025-10-15,117,153,270,33.0
2025-10-16,386,149,535,265.0
2025-10-17,50,121,171,-364.0
2025-10-18,42,99,141,-30.0
2025-10-19,31,101,132,-9.0
2025-10-20,73,129,202,70.0
2025-10-21,77,190,267,65.0
2025-10-22,143,182,325,58.0
2025-10-23,130,182,312,-13.0
2025-10-24,209,299,508,196.0
2025-10-25,24,74,98,-410.0
2025-10-26,31,123,154,56.0
2025-10-27,48,120,168,14.0
2025-10-28,68,181,249,81.0
2025-10-29,35,185,220,-29.0
2025-10-30,43,186,229,9.0
2025-10-31,79,298,377,148.0
2025-11-01,58,99,157,-220.0
2025-11-02,44,95,139,-18.0
2025-11-03,84,119,203,64.0
2025-11-04,69,133,202,-1.0
2025-11-05,684,225,909,707.0
2025-11-06,58,140,198,-711.0
2025-11-07,93,165,258,60.0
2025-11-08,50,128,178,-80.0
2025-11-09,35,69,104,-74.0
2025-11-10,64,209,273,169.0
2025-11-11,64,131,195,-78.0
2025-11-12,107,206,313,118.0
2025-11-13,67,182,249,-64.0
2025-11-14,58,105,163,-86.0
2025-11-15,47,71,118,-45.0
2025-11-16,23,69,92,-26.0
2025-11-17,138,104,242,150.0
2025-11-18,89,111,200,-42.0
2025-11-19,52,87,139,-61.0
2025-11-20,243,56,299,160.0
2025-11-21,246,155,401,102.0
2025-11-22,148,212,360,-41.0
2025-11-23,55,193,248,-112.0
2025-11-24,112,269,381,133.0
2025-11-25,48,203,251,-130.0
2025-11-26,85,282,367,116.0
2025-11-27,56,188,244,-123.0
2025-11-28,62,237,299,55.0
2025-11-29,39,124,163,-136.0
2025-11-30,91,100,191,28.0
2025-12-01,198,267,465,274.0
2025-12-02,67,220,287,-178.0
2025-12-03,70,206,276,-11.0
2025-12-04,45,188,233,-43.0
2025-12-05,47,252,299,66.0
2025-12-06,22,130,152,-147.0
2025-12-07,54,111,165,13.0
2025-12-08,74,170,244,79.0
2025-12-09,78,223,301,57.0
2025-12-10,73,178,251,-50.0
2025-12-11,46,116,162,-89.0
2025-12-12,45,141,186,24.0
2025-12-13,72,193,265,79.0
2025-12-14,54,173,227,-38.0
2025-12-15,175,278,453,226.0
2025-12-16,54,356,410,-43.0
2025-12-17,46,243,289,-121.0
